Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Leon;Muy_Alto;0;0;12,9;0;0;10;9,68;16,13;26,67;6,45;0;0;6,85
Leon;Extremo;0;0;3,23;0;0;3,33;0;3,23;6,67;0;0;0;1,37
Lleida;Bajo;19,35;17,86;0;36,67;35,48;20;9,68;6,45;26,67;25,81;73,33;96,77;30,68
Lleida;Moderado;51,61;42,86;16,13;36,67;35,48;13,33;19,35;6,45;30;25,81;26,67;3,23;25,48
Lleida;Alto;29,03;39,29;61,29;20;25,81;26,67;25,81;22,58;26,67;38,71;0;0;26,3
Lleida;Muy_Alto;0;0;22,58;6,67;3,23;23,33;29,03;41,94;16,67;9,68;0;0;12,88
Lleida;Extremo;0;0;0;0;0;16,67;16,13;22,58;0;0;0;0;4,66
La Rioja;Bajo;38,71;35,71;6,45;70;35,48;33,33;22,58;12,9;33,33;35,48;90;77,42;40,82
La Rioja;Moderado;41,94;32,14;32,26;23,33;41,94;16,67;32,26;25,81;33,33;35,48;10;22,58;29,04
La Rioja;Alto;19,35;28,57;45,16;6,67;16,13;26,67;32,26;35,48;30;19,35;0;0;21,64
La Rioja;Muy_Alto;0;3,57;16,13;0;6,45;13,33;6,45;16,13;3,33;9,68;0;0;6,3
La Rioja;Extremo;0;0;0;0;0;10;6,45;9,68;0;0;0;0;2,19
Lugo;Bajo;48,39;42,86;25,81;50;19,35;63,33;6,45;22,58;23,33;64,52;100;83,87;45,75
Lugo;Moderado;51,61;28,57;29,03;36,67;32,26;30;51,61;41,94;33,33;29,03;0;16,13;31,78
Lugo;Alto;0;25;29,03;13,33;45,16;0;38,71;25,81;16,67;3,23;0;0;16,44
Lugo;Muy_Alto;0;3,57;16,13;0;3,23;0;3,23;9,68;26,67;3,23;0;0;5,48
Lugo;Extremo;0;0;0;0;0;6,67;0;0;0;0;0;0;0,55
Madrid;Bajo;22,58;32,14;16,13;70;19,35;0;0;3,23;40;61,29;86,67;100;37,53
Madrid;Moderado;77,42;67,86;32,26;30;58,06;20;9,68;12,9;30;25,81;13,33;0;31,23
Madrid;Alto;0;0;51,61;0;22,58;53,33;38,71;32,26;10;12,9;0;0;18,63
Madrid;Muy_Alto;0;0;0;0;0;16,67;48,39;32,26;16,67;0;0;0;9,59
Madrid;Extremo;0;0;0;0;0;10;3,23;19,35;3,33;0;0;0;3,01
Malaga;Bajo;41,94;32,14;19,35;66,67;9,68;0;0;6,45;36,67;19,35;63,33;77,42;30,96
Malaga;Moderado;58,06;67,86;67,74;30;32,26;6,67;3,23;0;33,33;32,26;36,67;22,58;32,33
Malaga;Alto;0;0;12,9;3,33;41,94;20;9,68;29,03;16,67;19,35;0;0;12,88
Malaga;Muy_Alto;0;0;0;0;16,13;70;64,52;35,48;13,33;29,03;0;0;19,18
Malaga;Extremo;0;0;0;0;0;3,33;22,58;29,03;0;0;0;0;4,66
Murcia;Bajo;25,81;7,14;12,9;70;51,61;6,67;3,23;12,9;70;45,16;26,67;80,65;34,52
Murcia;Moderado;64,52;82,14;35,48;26,67;45,16;13,33;3,23;16,13;30;41,94;46,67;19,35;35,07
Murcia;Alto;9,68;10,71;48,39;3,33;0;60;25,81;38,71;0;12,9;26,67;0;19,73
Murcia;Muy_Alto;0;0;3,23;0;3,23;16,67;45,16;12,9;0;0;0;0;6,85
Murcia;Extremo;0;0;0;0;0;3,33;22,58;19,35;0;0;0;0;3,84
Navarra;Bajo;45,16;46,43;19,35;63,33;48,39;30;16,13;6,45;13,33;45,16;100;83,87;43,01
Navarra;Moderado;45,16;25;45,16;30;32,26;20;38,71;29,03;40;38,71;0;16,13;30,14
Navarra;Alto;9,68;28,57;32,26;6,67;16,13;20;22,58;38,71;33,33;12,9;0;0;18,36
Navarra;Muy_Alto;0;0;3,23;0;3,23;20;16,13;25,81;13,33;3,23;0;0;7,12
Navarra;Extremo;0;0;0;0;0;10;6,45;0;0;0;0;0;1,37
Ourense;Bajo;45,16;42,86;19,35;60;19,35;36,67;12,9;16,13;20;58,06;100;80,65;42,47
Ourense;Moderado;54,84;46,43;41,94;36,67;25,81;50;48,39;35,48;30;32,26;0;19,35;35,07
Ourense;Alto;0;10,71;25,81;3,33;51,61;6,67;35,48;38,71;23,33;9,68;0;0;17,26
Ourense;Muy_Alto;0;0;12,9;0;3,23;6,67;3,23;6,45;23,33;0;0;0;4,66
Ourense;Extremo;0;0;0;0;0;0;0;3,23;3,33;0;0;0;0,55
Asturias;Bajo;48,39;32,14;19,35;43,33;19,35;56,67;19,35;19,35;20;41,94;90;58,06;38,9
Asturias;Moderado;25,81;25;25,81;40;41,94;26,67;41,94;32,26;50;32,26;10;29,03;31,78
Asturias;Alto;25,81;28,57;29,03;16,67;25,81;10;29,03;32,26;30;16,13;0;12,9;21,37
Asturias;Muy_Alto;0;14,29;22,58;0;12,9;6,67;9,68;16,13;0;9,68;0;0;7,67
Asturias;Extremo;0;0;3,23;0;0;0;0;0;0;0;0;0;0,27
Palencia;Bajo;32,26;42,86;16,13;56,67;25,81;26,67;16,13;16,13;16,67;54,84;100;96,77;41,64
Palencia;Moderado;64,52;46,43;32,26;36,67;35,48;23,33;38,71;16,13;36,67;16,13;0;3,23;29,04
Palencia;Alto;3,23;10,71;38,71;6,67;35,48;23,33;35,48;35,48;10;19,35;0;0;18,36
Palencia;Muy_Alto;0;0;12,9;0;3,23;23,33;9,68;32,26;30;9,68;0;0;10,14
Palencia;Extremo;0;0;0;0;0;3,33;0;0;6,67;0;0;0;0,82
Las Palmas;Bajo;58,06;10,71;25,81;30;0;13,33;0;0;6,67;12,9;33,33;58,06;20,82
Las Palmas;Moderado;35,48;53,57;54,84;43,33;51,61;53,33;19,35;32,26;60;48,39;26,67;32,26;42,47
Las Palmas;Alto;6,45;25;16,13;23,33;41,94;23,33;64,52;35,48;30;22,58;23,33;9,68;26,85
Las Palmas;Muy_Alto;0;10,71;3,23;3,33;6,45;10;16,13;32,26;3,33;16,13;16,67;0;9,86
Las Palmas;Extremo;0;0;0;0;0;0;0;0;0;0;0;0;0
Pontevedra;Bajo;48,39;46,43;32,26;60;22,58;40;19,35;22,58;36,67;80,65;100;74,19;48,49
Pontevedra;Moderado;48,39;39,29;35,48;23,33;22,58;53,33;45,16;32,26;10;19,35;0;25,81;29,59
Pontevedra;Alto;3,23;14,29;16,13;16,67;48,39;0;35,48;41,94;3,33;0;0;0;15,07
Pontevedra;Muy_Alto;0;0;16,13;0;6,45;6,67;0;3,23;30;0;0;0;5,21
Pontevedra;Extremo;0;0;0;0;0;0;0;0;20;0;0;0;1,64
Salamanca;Bajo;54,84;39,29;19,35;60;9,68;23,33;12,9;12,9;30;58,06;100;100;43,29
Salamanca;Moderado;45,16;57,14;61,29;40;58,06;36,67;35,48;22,58;26,67;25,81;0;0;33,97
Salamanca;Alto;0;3,57;19,35;0;32,26;36,67;48,39;61,29;16,67;12,9;0;0;19,45
Salamanca;Muy_Alto;0;0;0;0;0;3,33;3,23;3,23;16,67;3,23;0;0;2,47
Salamanca;Extremo;0;0;0;0;0;0;0;0;10;0;0;0;0,82
Santa Cruz de Tenerife;Bajo;32,26;17,86;25,81;30;0;0;0;0;0;0;26,67;61,29;16,16
Santa Cruz de Tenerife;Moderado;19,35;32,14;41,94;70;12,9;30;3,23;0;16,67;54,84;50;22,58;29,32
Santa Cruz de Tenerife;Alto;41,94;28,57;32,26;0;87,1;60;77,42;67,74;70;32,26;23,33;16,13;44,93
Santa Cruz de Tenerife;Muy_Alto;6,45;17,86;0;0;0;10;19,35;25,81;13,33;12,9;0;0;8,77
Santa Cruz de Tenerife;Extremo;0;3,57;0;0;0;0;0;6,45;0;0;0;0;0,82
Cantabria;Bajo;70,97;21,43;12,9;43,33;45,16;36,67;22,58;16,13;40;35,48;90;54,84;40,82
Cantabria;Moderado;16,13;35,71;35,48;40;32,26;23,33;29,03;19,35;36,67;45,16;10;35,48;29,86
Cantabria;Alto;12,9;25;38,71;16,67;16,13;13,33;32,26;35,48;20;12,9;0;9,68;19,45
Cantabria;Muy_Alto;0;17,86;12,9;0;6,45;26,67;16,13;29,03;3,33;3,23;0;0;9,59
Cantabria;Extremo;0;0;0;0;0;0;0;0;0;3,23;0;0;0,27
Segovia;Bajo;32,26;28,57;9,68;63,33;22,58;13,33;9,68;6,45;23,33;54,84;100;87,1;37,53
Segovia;Moderado;67,74;46,43;22,58;30;54,84;16,67;22,58;16,13;23,33;19,35;0;12,9;27,67
Segovia;Alto;0;25;67,74;6,67;19,35;30;32,26;29,03;33,33;19,35;0;0;21,92
Segovia;Muy_Alto;0;0;0;0;3,23;26,67;22,58;32,26;13,33;6,45;0;0;8,77
Segovia;Extremo;0;0;0;0;0;13,33;12,9;16,13;6,67;0;0;0;4,11
Sevilla;Bajo;48,39;50;22,58;63,33;12,9;0;0;3,23;36,67;38,71;76,67;96,77;37,26
Sevilla;Moderado;51,61;50;58,06;36,67;35,48;0;12,9;0;30;45,16;23,33;3,23;28,77
Sevilla;Alto;0;0;19,35;0;38,71;70;51,61;45,16;13,33;16,13;0;0;21,37
Sevilla;Muy_Alto;0;0;0;0;9,68;30;35,48;45,16;16,67;0;0;0;11,51
Sevilla;Extremo;0;0;0;0;3,23;0;0;6,45;3,33;0;0;0;1,1
Soria;Bajo;29,03;32,14;6,45;80;35,48;20;25,81;9,68;30;45,16;100;96,77;42,47
Soria;Moderado;51,61;39,29;25,81;20;41,94;26,67;25,81;16,13;30;19,35;0;3,23;24,93
Soria;Alto;19,35;28,57;64,52;0;22,58;30;35,48;38,71;33,33;35,48;0;0;25,75
Soria;Muy_Alto;0;0;3,23;0;0;13,33;12,9;32,26;6,67;0;0;0;5,75
Soria;Extremo;0;0;0;0;0;10;0;3,23;0;0;0;0;1,1
Tarragona;Bajo;25,81;3,57;6,45;40;29,03;13,33;6,45;12,9;26,67;38,71;53,33;90,32;29,04
Tarragona;Moderado;38,71;71,43;22,58;33,33;41,94;10;16,13;9,68;46,67;35,48;36,67;6,45;30,41
Tarragona;Alto;22,58;25;41,94;20;25,81;46,67;25,81;19,35;23,33;19,35;10;3,23;23,56
Tarragona;Muy_Alto;12,9;0;25,81;6,67;3,23;23,33;35,48;45,16;3,33;6,45;0;0;13,7
Tarragona;Extremo;0;0;3,23;0;0;6,67;16,13;12,9;0;0;0;0;3,29
Teruel;Bajo;32,26;28,57;3,23;73,33;41,94;16,67;19,35;16,13;40;35,48;60;87,1;37,81
Teruel;Moderado;61,29;53,57;16,13;23,33;51,61;16,67;19,35;3,23;30;22,58;36,67;12,9;28,77
Teruel;Alto;6,45;17,86;74,19;3,33;6,45;46,67;25,81;29,03;26,67;32,26;3,33;0;22,74
Teruel;Muy_Alto;0;0;6,45;0;0;10;25,81;41,94;3,33;9,68;0;0;8,22
Teruel;Extremo;0;0;0;0;0;10;9,68;9,68;0;0;0;0;2,47
Toledo;Bajo;48,39;32,14;12,9;63,33;12,9;0;0;3,23;40;58,06;93,33;96,77;38,36
Toledo;Moderado;51,61;64,29;45,16;30;51,61;3,33;6,45;6,45;26,67;38,71;6,67;3,23;27,67
Toledo;Alto;0;3,57;41,94;6,67;25,81;50;19,35;19,35;10;3,23;0;0;15,07
Toledo;Muy_Alto;0;0;0;0;9,68;36,67;61,29;41,94;13,33;0;0;0;13,7
Toledo;Extremo;0;0;0;0;0;10;12,9;29,03;10;0;0;0;5,21
Valencia;Bajo;22,58;3,57;6,45;70;61,29;6,67;6,45;12,9;70;45,16;23,33;77,42;33,97
Valencia;Moderado;67,74;75;22,58;26,67;35,48;40;6,45;19,35;26,67;25,81;56,67;22,58;35,07
Valencia;Alto;6,45;21,43;61,29;3,33;0;43,33;35,48;22,58;3,33;29,03;20;0;20,55
Valencia;Muy_Alto;3,23;0;9,68;0;3,23;10;51,61;32,26;0;0;0;0;9,32
Valencia;Extremo;0;0;0;0;0;0;0;12,9;0;0;0;0;1,1
Valladolid;Bajo;67,74;39,29;12,9;56,67;16,13;10;12,9;9,68;16,67;54,84;100;96,77;41,1
Valladolid;Moderado;32,26;60,71;41,94;33,33;58,06;33,33;38,71;19,35;36,67;22,58;0;3,23;31,51
Valladolid;Alto;0;0;45,16;10;22,58;30;38,71;48,39;13,33;16,13;0;0;18,9
Valladolid;Muy_Alto;0;0;0;0;3,23;23,33;9,68;19,35;16,67;6,45;0;0;6,58
Valladolid;Extremo;0;0;0;0;0;3,33;0;3,23;16,67;0;0;0;1,92
Bizkaia;Bajo;90,32;42,86;22,58;50;51,61;33,33;16,13;29,03;23,33;48,39;93,33;51,61;46,03
Bizkaia;Moderado;9,68;10,71;29,03;40;32,26;23,33;32,26;19,35;53,33;35,48;6,67;45,16;28,22
Bizkaia;Alto;0;32,14;38,71;10;16,13;26,67;41,94;38,71;16,67;12,9;0;3,23;19,73
Bizkaia;Muy_Alto;0;10,71;6,45;0;0;16,67;6,45;12,9;6,67;0;0;0;4,93
Bizkaia;Extremo;0;3,57;3,23;0;0;0;3,23;0;0;3,23;0;0;1,1
Zamora;Bajo;35,48;50;16,13;53,33;9,68;23,33;16,13;9,68;23,33;58,06;100;100;41,1
Zamora;Moderado;64,52;46,43;58,06;40;58,06;36,67;41,94;29,03;26,67;19,35;0;0;35,07
Zamora;Alto;0;3,57;25,81;6,67;32,26;26,67;41,94;51,61;20;19,35;0;0;19,18
Zamora;Muy_Alto;0;0;0;0;0;10;0;9,68;20;3,23;0;0;3,56
Zamora;Extremo;0;0;0;0;0;3,33;0;0;10;0;0;0;1,1
Zaragoza;Bajo;51,61;50;6,45;63,33;19,35;16,67;19,35;6,45;23,33;51,61;93,33;100;41,64
Zaragoza;Moderado;45,16;46,43;25,81;30;48,39;30;19,35;12,9;36,67;9,68;6,67;0;25,75
Zaragoza;Alto;3,23;3,57;61,29;6,67;29,03;23,33;22,58;38,71;30;35,48;0;0;21,37
Zaragoza;Muy_Alto;0;0;6,45;0;3,23;16,67;32,26;38,71;6,67;3,23;0;0;9,04
Zaragoza;Extremo;0;0;0;0;0;13,33;6,45;3,23;3,33;0;0;0;2,19
